"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.092679350E-1,9.332008660E-2,1.555334777E-1,9.786943436E0,9.788624066E0
2.116749140E-1,9.571290761E-2,1.603191197E-1,9.794121742E0,9.795901382E0
2.140818930E-1,9.571290761E-2,1.627119333E-1,9.789336205E0,9.791156186E0
2.164888720E-1,1.028913707E-1,1.603191197E-1,9.796515465E0,9.798367420E0
2.188958510E-1,1.028913707E-1,1.555334777E-1,9.786943436E0,9.788719993E0
2.213028310E-1,8.853443712E-2,1.579262912E-1,9.784550667E0,9.786225565E0
2.237098100E-1,7.657032460E-2,1.483550072E-1,9.794121742E0,9.795544545E0
2.261167890E-1,9.571290761E-2,1.674975902E-1,9.798908234E0,9.800807057E0
2.285237680E-1,1.052841991E-1,1.555334777E-1,9.794121742E0,9.795922424E0
2.309307470E-1,8.853443712E-2,1.603191197E-1,9.786943436E0,9.788656822E0
2.333377260E-1,9.092725813E-2,1.555334777E-1,9.803693771E0,9.805349050E0
2.357447580E-1,1.052841991E-1,1.387837082E-1,9.796515465E0,9.798064142E0
2.381517370E-1,1.076770201E-1,1.435693651E-1,9.789336205E0,9.790981045E0
2.405587160E-1,9.332008660E-2,1.603191197E-1,9.794121742E0,9.795878295E0
2.429656950E-1,9.092725813E-2,1.483550072E-1,9.796515465E0,9.798060636E0
2.453726740E-1,8.374879509E-2,1.603191197E-1,9.796515465E0,9.798185104E0
2.477796530E-1,7.896314561E-2,1.555334777E-1,9.794121742E0,9.795674890E0
2.501866330E-1,9.571290761E-2,1.435693651E-1,9.791728973E0,9.793249175E0
2.525936120E-1,1.124626622E-1,1.531406492E-1,9.789336205E0,9.791179869E0
2.550005910E-1,1.052841991E-1,1.531406492E-1,9.803693771E0,9.805455032E0
2.574075700E-1,1.052841991E-1,1.483550072E-1,9.798908234E0,9.800596744E0
2.598145490E-1,8.853443712E-2,1.435693651E-1,9.794121742E0,9.795574062E0
2.622215280E-1,7.896314561E-2,1.579262912E-1,9.791728973E0,9.793320794E0
2.646285080E-1,8.614161611E-2,1.483550072E-1,9.789336205E0,9.790839234E0
2.670355390E-1,8.614161611E-2,1.698904037E-1,9.786943436E0,9.788796910E0
2.694425180E-1,8.374879509E-2,1.603191197E-1,9.803693771E0,9.805362188E0
2.718494970E-1,9.332008660E-2,1.579262912E-1,9.801301003E0,9.803017428E0
2.742564760E-1,1.076770201E-1,1.459621787E-1,9.791728973E0,9.793408783E0
2.766634560E-1,1.052841991E-1,1.603191197E-1,9.791728973E0,9.793607266E0
2.790704350E-1,9.571290761E-2,1.244267747E-1,9.779765129E0,9.781024944E0
2.814774140E-1,8.853443712E-2,1.387837082E-1,9.794121742E0,9.795505090E0
2.838843930E-1,8.135596663E-2,1.722832322E-1,9.784550667E0,9.786405472E0
2.862913720E-1,9.810572863E-2,1.722832322E-1,9.791728973E0,9.793735882E0
2.886983510E-1,9.332008660E-2,1.459621787E-1,9.796515465E0,9.798047196E0
2.911053310E-1,9.571290761E-2,1.531406492E-1,9.782157898E0,9.783824720E0
2.935123620E-1,9.571290761E-2,1.531406492E-1,9.806086540E0,9.807749296E0
2.959193410E-1,9.092725813E-2,1.555334777E-1,9.798908234E0,9.800564321E0
2.983263200E-1,9.092725813E-2,1.387837082E-1,9.786943436E0,9.788349733E0
3.007332990E-1,9.810572863E-2,1.363908947E-1,9.794121742E0,9.795562664E0
3.031402780E-1,1.028913707E-1,1.555334777E-1,9.801301003E0,9.803074958E0
3.055472580E-1,1.028913707E-1,1.459621787E-1,9.789336205E0,9.790964964E0
3.079542370E-1,9.092725813E-2,1.531406492E-1,9.794121742E0,9.795740938E0
3.103612160E-1,9.332008660E-2,1.507478207E-1,9.794121742E0,9.795726326E0
3.127681950E-1,6.939185411E-2,1.531406492E-1,9.791728973E0,9.793172294E0
3.151751740E-1,8.135596663E-2,1.627119333E-1,9.808479309E0,9.810166172E0
3.175821530E-1,7.178468257E-2,1.722832322E-1,9.794121742E0,9.795899921E0
3.199891330E-1,9.332008660E-2,1.722832322E-1,9.784550667E0,9.786512244E0
3.223961120E-1,9.092725813E-2,1.698904037E-1,9.798908234E0,9.800802676E0
3.248031430E-1,8.135596663E-2,1.483550072E-1,9.801301003E0,9.802761312E0
3.272101220E-1,9.332008660E-2,1.435693651E-1,9.798908234E0,9.800404245E0
